date,total,age_0_17,age_18_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80,female,male
8/14/2021,405,77,102,100,49,33,29,12,3,215,190
5/30/2022,386,51,69,69,73,51,32,17,24,235,150
2/14/2022,381,108,78,61,40,36,29,20,9,186,193
4/8/2020,704,11,86,100,107,154,129,69,48,353,351
7/20/2020,394,53,95,90,55,47,36,14,4,198,192
7/23/2020,318,33,100,68,43,36,17,12,9,189,128
1/14/2023,181,22,29,23,22,24,27,21,13,111,70
11/26/2020,265,22,48,36,39,34,35,31,19,133,132
5/21/2020,798,75,174,137,119,122,78,50,43,417,372
2/24/2022,235,63,53,49,25,19,10,12,4,132,101
4/22/2022,688,151,128,148,98,65,48,34,16,398,290
6/27/2021,15,4,2,4,1,0,1,3,0,9,6
9/15/2021,518,118,124,109,63,49,39,10,6,276,242
12/14/2021,2807,516,878,641,357,216,133,43,21,1493,1307
10/12/2020,681,69,180,119,122,91,59,31,10,322,356
9/28/2021,384,85,84,85,40,39,31,12,8,212,172
9/6/2020,143,16,44,30,17,18,10,3,5,72,71
2/18/2021,315,36,98,52,50,42,25,10,2,163,152
5/11/2021,309,60,65,69,41,34,30,5,5,160,149
1/29/2022,582,136,99,118,79,48,59,28,15,295,285
10/1/2020,364,50,123,69,41,49,15,15,2,177,186
6/19/2021,30,6,11,5,1,2,1,4,0,18,12
3/19/2023,127,12,20,18,20,17,18,14,8,72,55
4/24/2020,1074,30,177,172,186,188,158,74,89,516,558
5/4/2020,1121,57,217,224,244,177,109,53,40,565,556
5/22/2021,130,27,37,15,13,19,10,8,1,68,62
5/14/2021,289,66,69,55,34,28,26,7,4,156,133
12/28/2022,508,48,70,77,79,72,65,55,42,285,223
2/19/2021,318,46,83,63,41,42,13,16,14,164,153
6/19/2023,42,3,3,4,6,3,12,4,7,28,14
1/22/2023,180,15,33,36,24,19,20,27,6,98,81
9/12/2021,266,55,62,52,39,25,18,13,2,166,100
11/11/2022,422,93,59,65,44,53,47,29,31,231,191
3/21/2020,125,0,18,25,20,28,16,13,5,53,72
8/5/2023,53,9,9,11,6,3,6,6,3,36,17
9/7/2022,689,161,110,92,104,105,55,37,24,393,296
5/5/2020,1091,53,206,206,217,207,125,50,27,562,529
7/16/2020,298,27,88,67,44,31,22,10,9,156,141
7/9/2021,82,13,20,25,12,5,4,2,1,39,43
6/28/2021,50,12,9,9,9,5,3,3,0,18,32
4/12/2020,341,28,32,56,54,60,46,34,31,144,197
7/30/2022,487,55,93,98,65,66,52,38,20,291,195
10/2/2022,176,20,32,19,23,20,29,15,18,99,77
9/23/2022,339,46,64,59,39,55,41,26,9,188,150
7/31/2020,392,46,112,82,64,42,31,8,7,208,181
7/8/2020,306,37,99,67,37,33,20,11,2,158,148
4/16/2020,677,8,118,113,119,121,94,63,41,320,357
6/24/2023,22,2,6,2,4,4,0,2,2,13,9
1/24/2023,407,113,52,49,43,57,46,23,24,212,194
4/28/2021,572,85,144,130,94,68,28,13,10,302,269
5/25/2020,252,7,34,35,41,43,49,26,17,123,126
8/9/2020,115,16,41,21,12,6,9,6,4,53,62
4/19/2020,459,7,66,60,66,75,75,50,60,206,253
7/4/2022,257,39,40,49,29,36,25,20,18,141,115
1/3/2021,659,74,183,132,82,77,62,31,18,332,326
5/28/2022,613,91,114,132,94,66,55,40,21,349,264
6/8/2021,74,21,17,12,8,6,7,2,1,44,30
11/20/2022,262,30,37,47,29,43,27,33,16,154,108
10/4/2021,428,105,84,79,53,48,32,22,5,211,216
12/31/2020,970,89,250,199,141,119,79,56,37,491,477
9/21/2020,420,51,123,85,56,46,34,18,7,215,203
8/7/2022,441,61,86,95,65,60,42,19,13,244,197
9/16/2022,422,81,67,58,59,46,50,36,25,243,179
3/23/2022,312,59,67,89,36,33,17,9,2,186,126
6/21/2021,46,11,11,9,7,1,5,2,0,24,22
10/17/2021,200,38,42,49,25,18,12,10,6,116,84
10/6/2020,558,61,176,105,93,70,32,16,5,292,265
6/28/2020,110,8,36,22,20,10,9,3,2,64,46
9/23/2021,368,81,85,74,47,30,29,15,7,192,174
8/20/2022,372,64,65,65,44,52,39,24,19,204,167
3/26/2020,413,2,65,74,78,96,53,36,9,181,232
7/8/2023,34,2,8,3,4,4,4,7,2,22,12
8/21/2021,372,48,91,87,67,43,24,9,3,192,180
12/3/2021,920,207,188,170,130,88,79,44,14,444,473
7/5/2020,90,7,29,19,14,11,8,2,0,54,35
6/4/2023,30,5,4,4,4,3,5,3,2,16,14
6/3/2022,1097,241,199,217,146,122,90,59,23,623,474
2/19/2022,124,15,27,21,21,16,9,9,6,64,60
10/30/2022,198,25,32,25,24,30,29,15,18,116,82
11/28/2021,493,74,103,109,85,54,39,15,14,249,240
10/17/2022,466,90,77,67,60,56,57,39,20,263,203
9/27/2020,167,15,52,32,24,21,11,9,3,94,73
10/5/2020,553,54,157,116,96,66,38,22,4,266,286
2/25/2021,282,33,69,60,53,19,26,17,5,135,147
3/22/2022,269,58,64,64,41,21,10,8,3,158,111
6/14/2021,67,10,14,22,7,9,4,1,0,37,30
2/27/2022,93,18,18,18,11,11,9,6,2,48,45
6/24/2021,45,7,15,10,7,4,0,1,1,25,20
9/4/2022,252,43,38,43,34,37,23,19,15,132,120
7/6/2023,43,3,8,8,3,7,9,4,1,21,22
2/4/2022,580,151,128,85,73,63,45,16,19,322,257
3/28/2021,355,30,120,74,51,41,25,8,6,192,163
11/10/2021,592,163,133,119,70,39,39,15,14,303,287
7/26/2020,96,7,24,25,10,16,8,4,2,48,48
8/29/2021,309,66,73,59,49,35,13,9,5,150,159
12/13/2022,772,158,119,110,99,104,86,54,42,447,325
6/7/2022,1100,254,199,219,140,131,83,45,29,634,463
6/12/2020,248,32,61,42,46,27,21,8,11,141,103
1/30/2021,419,76,84,78,52,54,44,20,11,221,198
10/20/2020,1196,159,309,230,199,141,88,48,22,605,591
7/16/2021,155,23,42,48,14,18,6,3,1,79,75
11/20/2020,2300,328,528,432,371,267,192,109,73,1196,1101
7/31/2021,268,34,73,62,39,22,19,11,8,142,125
4/20/2023,135,31,14,22,15,17,20,6,10,78,57
11/17/2020,2462,266,586,490,390,344,227,104,55,1272,1181
7/21/2022,970,126,175,178,126,154,106,61,44,550,420
2/10/2021,366,51,101,69,42,44,28,18,13,172,194
11/5/2022,258,33,45,47,33,39,28,16,16,142,116
4/15/2020,630,21,91,107,111,124,86,46,44,306,324
7/2/2021,54,5,11,10,12,6,7,3,0,32,22
6/15/2021,52,10,8,10,11,8,2,2,1,34,18
4/4/2021,307,45,70,68,60,35,16,8,5,154,152
11/3/2022,462,94,65,79,63,51,52,32,26,294,167
12/17/2020,1348,169,327,255,197,183,123,50,43,708,636
7/16/2022,567,76,101,109,91,65,68,36,20,324,241
11/12/2021,617,130,103,136,89,80,44,20,15,333,281
11/15/2022,504,108,67,76,60,65,56,43,29,312,191
2/11/2023,182,17,30,23,24,29,25,21,13,105,76
4/1/2023,129,15,12,18,23,13,22,15,11,77,52
8/21/2022,362,71,59,69,58,46,26,22,10,212,150
3/16/2022,234,52,52,56,32,21,13,7,0,111,123
9/11/2021,321,65,71,71,48,29,16,15,6,182,138
3/13/2022,82,9,17,25,15,5,7,1,3,48,34
4/4/2020,326,2,34,38,61,70,63,33,25,152,174
7/26/2021,326,61,91,77,34,33,19,6,5,178,148
12/2/2021,1058,230,245,213,135,116,70,30,19,571,484
11/14/2021,382,97,82,79,51,36,25,6,6,179,201
10/28/2021,400,93,77,91,55,45,27,6,6,210,190
8/24/2020,554,91,134,111,96,66,31,18,7,292,258
8/23/2020,130,10,43,17,23,15,12,8,2,71,59
7/17/2022,527,84,94,106,84,70,51,26,12,297,230
11/3/2020,2140,262,554,448,350,265,153,65,43,1090,1048
3/19/2021,440,64,145,105,49,37,21,13,6,220,220
4/26/2021,647,119,153,142,95,91,31,10,6,351,296
6/29/2021,56,16,11,13,9,1,3,3,0,32,24
8/5/2020,378,44,114,83,54,33,32,14,4,184,192
7/29/2020,446,56,131,94,68,51,28,12,6,233,209
12/9/2022,570,123,83,77,85,71,60,46,24,336,234
8/2/2021,474,65,138,114,74,40,27,12,4,251,222
7/25/2020,155,29,33,33,25,16,7,9,3,78,77
10/8/2020,612,82,181,116,68,83,55,19,8,311,301
3/16/2020,77,1,13,21,18,12,7,4,1,36,41
6/23/2020,234,12,72,43,37,27,17,16,10,117,116
4/29/2022,757,155,134,177,110,74,60,26,21,427,329
12/25/2022,120,20,10,15,16,14,20,11,14,67,53
7/10/2022,521,75,106,100,88,58,50,31,13,298,223
5/20/2022,1103,252,198,209,145,122,96,50,31,607,495
3/7/2021,174,16,42,39,33,25,11,5,3,83,91
10/17/2020,547,70,139,115,95,58,45,15,10,275,272
4/18/2022,771,145,168,160,124,82,49,32,11,440,326
7/6/2021,75,22,17,13,6,8,6,2,1,45,30
7/9/2023,24,2,5,7,5,3,0,1,1,15,9
6/6/2020,170,18,33,22,36,28,20,9,4,88,82
6/26/2021,20,3,4,8,3,0,2,0,0,11,9
1/11/2023,492,122,65,54,63,62,51,44,31,287,204
9/11/2020,342,51,93,83,40,37,21,14,3,171,170
5/13/2021,315,64,69,49,56,38,31,5,3,178,136
4/30/2021,550,124,118,102,66,62,48,19,11,309,241
9/5/2021,320,76,71,62,45,42,14,4,6,170,150
6/5/2020,337,33,75,70,50,51,30,18,10,171,165
10/13/2020,876,89,249,195,134,108,58,24,19,444,429
7/4/2020,63,8,16,10,13,6,7,2,1,33,28
2/10/2022,425,100,100,82,42,32,40,21,8,232,193
12/12/2020,915,110,215,178,135,124,90,45,18,467,445
2/23/2021,311,31,88,63,37,48,25,12,7,153,158
4/24/2021,409,75,83,95,62,49,28,12,5,227,182
7/3/2021,48,6,12,16,7,5,1,0,1,22,25
10/7/2020,548,59,163,117,85,63,34,18,9,269,278
7/1/2021,32,5,11,8,5,1,2,0,0,15,17
5/7/2023,63,10,9,8,7,11,10,5,3,36,27
10/21/2020,1180,116,380,246,176,130,84,32,16,612,568
6/1/2021,128,29,23,25,26,16,5,4,0,74,54
11/7/2020,1568,181,392,337,265,187,113,54,39,824,744
5/27/2021,121,18,32,22,15,10,15,6,3,65,56
5/19/2022,1179,241,244,244,156,111,87,56,40,652,525
7/9/2020,288,27,93,58,41,34,23,7,5,135,152
9/26/2021,207,40,45,49,25,16,11,15,6,106,101
11/6/2021,315,62,61,75,48,31,22,9,7,158,153
1/15/2021,1022,126,264,194,174,115,79,48,22,532,490
5/20/2021,248,49,47,54,35,27,22,13,1,132,116
9/16/2020,365,47,120,78,48,34,25,10,3,203,162
2/3/2021,571,83,143,100,75,63,65,26,16,292,279
11/13/2020,2691,333,649,537,402,344,244,122,60,1449,1235
4/9/2023,96,15,16,17,8,12,17,8,3,60,36
5/9/2021,166,28,28,37,21,20,15,10,7,87,79
12/3/2020,2070,235,520,406,317,308,157,80,47,1094,972
9/13/2020,123,12,37,30,19,13,9,3,0,61,62
3/31/2021,717,85,226,160,89,92,33,18,14,362,354
12/14/2022,819,253,98,114,95,101,71,46,41,455,364
6/16/2023,45,8,8,10,3,3,4,4,5,28,17
9/5/2022,213,39,25,31,35,21,21,23,18,118,95
7/5/2023,33,5,0,6,5,4,3,5,5,20,12
12/29/2020,1713,218,390,355,259,222,150,72,47,925,787
8/15/2020,221,18,65,41,30,34,20,11,2,106,113
1/9/2023,494,91,59,75,58,68,60,50,33,269,222
3/26/2021,600,75,217,133,68,56,34,6,11,289,311
10/4/2020,152,19,34,26,20,25,13,12,3,63,89
1/14/2021,1053,135,221,232,175,127,93,46,24,547,506
6/29/2020,279,22,89,55,36,40,17,9,11,137,140
5/1/2022,535,97,99,141,74,58,31,28,7,307,228
6/1/2023,67,7,12,8,7,10,13,7,3,43,24
10/20/2021,322,67,88,52,41,31,27,11,5,146,174
7/3/2020,174,14,52,36,25,18,16,9,4,106,67
4/29/2020,1151,54,208,230,219,201,118,62,59,547,603
4/7/2023,125,18,19,16,16,18,22,12,4,69,56
10/27/2021,385,99,80,66,53,41,28,11,7,197,188
1/26/2021,644,77,156,122,114,88,46,29,12,315,328
6/17/2021,35,7,7,10,3,3,4,1,0,17,18
3/14/2022,183,35,35,43,26,20,17,5,2,101,82
8/3/2021,442,58,140,103,53,38,34,11,5,228,212
8/25/2021,605,101,149,138,81,69,32,22,13,319,286
11/21/2020,1264,160,294,248,194,161,116,60,31,640,623
10/12/2021,376,95,78,77,52,34,21,15,4,199,176
1/9/2022,2057,397,431,390,285,231,158,100,65,1089,963
9/29/2022,360,63,49,64,37,52,44,27,23,191,169
10/26/2020,1539,192,403,303,257,180,117,66,21,782,754
1/1/2021,266,28,60,49,37,34,19,21,18,132,132
5/7/2021,365,68,91,69,63,41,17,9,7,194,171
10/23/2022,203,27,36,39,18,33,22,15,13,114,88
12/13/2020,609,53,129,128,93,84,59,37,26,327,282
10/24/2022,614,105,84,95,78,75,88,60,29,358,256
10/16/2020,953,113,243,182,158,134,73,35,15,498,452
5/30/2021,52,7,15,11,6,6,7,0,0,23,29
4/18/2023,192,38,25,25,26,21,17,14,26,110,82
6/22/2021,32,3,7,8,3,5,5,0,1,18,14
12/4/2021,611,124,150,124,68,67,37,21,20,331,278
3/30/2021,736,92,258,145,90,77,57,12,5,377,359
9/3/2022,331,66,55,50,44,34,30,35,17,196,135
12/2/2020,2049,214,514,409,304,299,182,77,50,1068,976
11/29/2020,898,105,215,191,130,115,78,41,23,452,444
3/30/2020,439,6,54,78,81,82,59,43,36,217,222
10/10/2021,173,31,38,32,22,21,15,9,5,98,74
9/14/2021,495,135,110,99,59,49,26,12,5,251,244
12/6/2020,708,72,160,128,111,99,72,48,18,374,332
3/15/2022,256,63,65,51,31,24,10,6,6,147,109
11/8/2020,1105,123,269,236,177,142,87,44,27,553,551
6/1/2022,1354,322,260,268,167,150,105,50,32,770,578
11/28/2022,887,193,137,135,102,121,109,55,35,509,376
6/13/2022,914,95,182,215,140,110,97,43,32,514,399
4/30/2020,1274,57,230,221,230,189,150,95,102,628,644
5/12/2023,94,15,14,17,7,9,14,12,6,55,39
1/25/2023,372,126,57,49,43,29,35,22,11,208,164
9/6/2022,792,171,128,127,115,117,54,53,26,451,339
4/21/2022,681,111,171,164,82,67,46,23,17,356,320
5/24/2020,278,16,55,42,47,33,47,22,16,148,130
7/15/2020,268,30,84,51,33,34,18,12,6,150,118
10/27/2020,1627,202,452,342,251,179,117,53,31,841,783
12/18/2020,1300,167,289,251,205,169,120,59,40,673,620
7/29/2022,812,124,151,145,112,109,85,56,30,466,345
12/28/2020,1665,202,367,360,217,243,170,66,40,846,814
1/23/2021,588,71,120,135,86,80,53,30,13,304,284
4/16/2022,356,40,79,87,66,31,31,13,9,191,158
11/10/2022,551,124,91,99,57,78,44,36,22,311,240
2/20/2022,112,17,29,14,24,10,10,4,4,51,61
12/25/2020,160,8,33,24,20,16,21,17,21,75,84
12/12/2022,916,197,111,105,128,128,125,61,61,504,412
1/25/2021,856,102,198,171,130,106,97,32,20,456,399
11/3/2021,519,143,96,105,59,55,32,17,12,280,235
8/24/2021,568,114,158,122,65,45,27,25,11,293,274
9/30/2020,462,47,140,95,53,65,35,17,10,236,226
4/1/2022,321,56,79,81,38,29,28,4,6,177,143
5/13/2022,1264,292,220,231,183,145,111,58,24,714,549
1/27/2022,1028,289,200,191,118,80,84,42,24,538,489
5/12/2021,341,68,74,71,44,43,20,19,2,196,145
2/16/2021,213,24,65,30,43,22,17,8,4,113,99
7/23/2021,243,42,60,67,29,19,14,8,4,134,109
10/23/2021,221,37,40,57,24,27,21,7,8,110,111
6/25/2020,249,22,70,65,36,21,20,11,4,124,125
12/26/2020,955,94,234,179,155,140,89,41,23,506,446
12/15/2020,1613,214,361,270,259,242,156,67,44,818,786
12/3/2022,420,50,73,72,62,56,57,34,16,235,185
10/10/2022,328,44,55,47,41,51,42,27,21,171,156
7/20/2021,187,32,47,50,27,17,7,5,2,98,89
4/14/2023,165,31,20,28,16,17,33,14,6,96,69
3/12/2023,87,9,7,18,16,11,13,7,6,41,46
6/17/2020,219,18,57,33,32,30,23,13,13,109,109
2/17/2022,305,80,72,55,34,28,17,12,7,167,138
5/21/2023,35,2,3,3,6,3,5,4,9,17,18
2/17/2021,384,35,119,70,70,47,23,10,10,191,193
4/5/2020,292,3,31,50,49,73,42,20,24,127,165
2/27/2021,177,31,39,32,21,24,14,9,7,100,77
5/3/2020,464,10,95,78,76,81,66,31,27,214,250
7/30/2021,355,51,111,68,49,48,15,9,4,164,191
10/15/2020,907,86,266,213,112,115,72,28,15,464,442
1/8/2023,238,43,45,41,20,23,29,27,10,141,95
4/10/2021,557,88,150,112,91,65,28,15,8,281,275
12/26/2022,444,44,59,66,72,57,60,43,43,251,193
4/23/2022,409,66,70,94,57,48,42,22,10,220,188
11/21/2021,374,68,91,75,52,43,30,7,8,223,150
3/12/2022,86,15,14,17,14,11,5,8,2,50,36
6/20/2020,125,18,32,18,21,19,5,9,3,65,60
3/21/2022,275,66,52,67,30,27,24,8,1,148,126
2/22/2021,386,51,90,84,56,54,32,11,8,198,188
1/22/2022,999,220,195,181,131,115,87,45,24,559,439
12/20/2022,904,154,122,136,116,137,121,61,57,517,384
1/29/2021,592,90,143,100,95,72,57,25,10,308,283
6/14/2022,828,102,184,181,124,97,73,42,25,473,354
9/18/2022,194,33,34,26,25,22,29,21,4,113,81
3/25/2021,675,75,243,160,82,58,35,17,5,309,366
2/7/2021,212,23,48,46,30,31,14,13,7,113,99
7/10/2020,344,35,120,73,51,24,18,18,5,168,174
8/12/2020,432,51,116,93,73,53,29,10,7,225,205
4/23/2021,531,93,129,99,82,62,40,16,10,289,242
4/18/2021,316,44,71,78,45,44,18,9,7,173,143
6/12/2021,46,5,13,13,3,7,1,2,2,18,28
1/7/2021,1381,166,367,277,187,157,147,50,30,677,695
9/26/2020,233,26,66,50,32,40,11,7,1,105,128
3/29/2022,362,75,103,84,42,34,11,9,4,205,157
9/24/2022,205,27,41,35,27,24,31,12,8,125,80
11/16/2020,2556,316,599,485,457,339,203,96,61,1327,1220
9/28/2022,336,60,63,56,39,40,37,21,20,192,143
10/30/2021,280,57,60,63,29,32,21,12,6,140,139
4/28/2020,1321,68,247,231,252,247,155,69,52,634,687
5/22/2022,622,116,115,117,110,65,54,30,15,352,270
8/21/2020,430,60,139,88,46,54,29,11,3,242,186
4/3/2022,215,51,33,63,29,17,14,4,4,129,86
6/18/2023,19,3,2,2,2,3,3,2,2,12,7
10/28/2022,343,63,60,48,42,49,38,33,10,201,141
12/21/2020,1463,172,299,270,272,192,115,84,59,734,723
12/14/2020,1460,159,330,298,213,201,129,81,49,767,688
8/19/2022,600,69,109,127,73,78,84,35,25,362,237
9/25/2022,190,24,32,45,26,27,16,11,8,111,79
4/6/2020,583,5,77,97,103,110,94,56,41,303,280
7/7/2021,73,17,18,16,13,4,3,2,0,50,22
10/26/2022,466,78,67,78,68,76,55,24,20,276,189
4/17/2020,774,16,128,126,142,144,118,49,51,387,387
9/30/2022,317,51,49,32,54,56,38,25,12,183,133
9/19/2022,442,88,86,69,52,55,46,24,22,270,172
10/16/2021,178,32,39,26,31,18,19,11,2,85,93
4/27/2023,152,31,24,23,20,20,16,8,10,90,62
11/27/2020,1255,131,257,221,206,179,138,76,47,658,594
11/2/2022,531,101,105,87,74,72,46,19,27,317,214
4/2/2021,675,83,202,139,107,81,39,17,7,346,329
9/15/2020,352,54,100,67,47,42,26,13,3,189,163
6/15/2022,739,81,159,162,112,87,81,41,16,428,310
10/6/2022,360,74,50,55,42,41,53,25,20,201,159
2/6/2022,291,77,58,48,43,30,15,12,8,145,146
1/28/2022,747,166,146,142,88,71,67,49,18,380,366
6/3/2020,280,23,61,47,41,44,32,18,14,154,126
5/15/2021,177,38,38,33,19,27,12,6,4,92,85
11/5/2021,471,111,103,98,71,44,22,12,10,241,229
6/7/2021,102,20,20,11,19,14,10,6,2,53,49
6/25/2023,18,3,3,2,4,2,1,2,1,13,5
